index,Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
2317,USA,Los Angeles,Port of Los Angeles,33.731944,-118.265278,USLAX,Deepwater Seaport,Very Large,"[33.731944, -118.265278]","Port of Los Angeles, Deepwater Seaport - Very Large"
2328,USA,Mobile,Port of Mobile,30.711389,-88.040278,USMOB,Deepwater Seaport,Large,"[30.711389, -88.040278]","Port of Mobile, Deepwater Seaport - Large"
2337,USA,New Haven,Port of New Haven,41.286389,-72.915,USHVN,Seaport,Large,"[41.286389, -72.915]","Port of New Haven, Seaport - Large"
2340,USA,New York,Port of New York,40.688333,-74.028611,USNYC,Deepwater Seaport,Very Large,"[40.688333, -74.028611]","Port of New York, Deepwater Seaport - Very Large"
2341,USA,Newark,Port of Newark,40.7,-74.139444,,Deepwater Seaport,Very Large,"[40.7, -74.139444]","Port of Newark, Deepwater Seaport - Very Large"
2343,USA,Newport News,Port of Newport News,36.980556,-76.431667,USNNS,Deepwater Seaport,Large,"[36.980556, -76.431667]","Port of Newport News, Deepwater Seaport - Large"
2346,USA,Norfolk,Port of Norfolk,36.901944,-76.297778,USORF,Deepwater Seaport,Very Large,"[36.901944, -76.297778]","Port of Norfolk, Deepwater Seaport - Very Large"
2349,USA,Oakland,Port of Oakland,37.799444,-122.301944,USOAK,Deepwater Seaport,Very Large,"[37.799444, -122.301944]","Port of Oakland, Deepwater Seaport - Very Large"
2356,USA,Pasadena,Port of Pasadena,29.733889,-95.196389,USPAS,Seaport,Large,"[29.733889, -95.196389]","Port of Pasadena, Seaport - Large"
2361,USA,Perth Amboy,Port of Perth Amboy,40.503611,-74.273333,USPAY,Seaport,Large,"[40.503611, -74.273333]","Port of Perth Amboy, Seaport - Large"
2381,USA,Portsmouth,Port of Portsmouth,36.816667,-76.291111,USPTM,Deepwater Seaport,Large,"[36.816667, -76.291111]","Port of Portsmouth, Deepwater Seaport - Large"
2388,USA,Richmond,Port of Richmond,37.913889,-122.364167,USRCH,Deepwater Seaport,Large,"[37.913889, -122.364167]","Port of Richmond, Deepwater Seaport - Large"
2394,USA,San Diego,Port of San Diego,32.684444,-117.161389,USSAN,Deepwater Seaport,Very Large,"[32.684444, -117.161389]","Port of San Diego, Deepwater Seaport - Very Large"
2395,USA,San Francisco,Port of San Francisco,37.788611,-122.401389,USSFO,Deepwater Seaport,Very Large,"[37.788611, -122.401389]","Port of San Francisco, Deepwater Seaport - Very Large"
2400,USA,Seattle,Port of Seattle,47.602222,-122.365278,USSEA,Seaport,Very Large,"[47.602222, -122.365278]","Port of Seattle, Seaport - Very Large"
2410,USA,Tacoma,Port of Tacoma,47.267222,-122.406667,USTIW,Seaport,Very Large,"[47.267222, -122.406667]","Port of Tacoma, Seaport - Very Large"
2411,USA,Tampa,Tampa Port Authority,27.93,-82.437778,USTPA,Seaport,Large,"[27.93, -82.437778]","Tampa Port Authority, Seaport - Large"
2413,USA,Texas City,Port of Texas City,29.375,-94.898333,USTXT,Seaport,Large,"[29.375, -94.898333]","Port of Texas City, Seaport - Large"
