Country Code,Port Location,Port Name,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,lat_long,details
USA,New London,Port of New London,41.358889,-72.091389,USNLO,Seaport,Medium,"[41.358889, -72.091389]","Port of New London, Seaport - Medium"
USA,New York,Port of New York,40.688333,-74.028611,USNYC,Deepwater Seaport,Very Large,"[40.688333, -74.028611]","Port of New York, Deepwater Seaport - Very Large"
USA,Newark,Port of Newark,40.7,-74.139444,,Deepwater Seaport,Very Large,"[40.7, -74.139444]","Port of Newark, Deepwater Seaport - Very Large"
USA,Newport,Port of Newport,44.622222,-124.048889,USNPO,Seaport,Small,"[44.622222, -124.048889]","Port of Newport, Seaport - Small"
USA,Newport News,Port of Newport News,36.980556,-76.431667,USNNS,Deepwater Seaport,Large,"[36.980556, -76.431667]","Port of Newport News, Deepwater Seaport - Large"
USA,Nikiski,Port of Nikiski,60.6775,-151.395278,USNIK,"Pier, Jetty or Wharf",Small,"[60.6775, -151.395278]","Port of Nikiski, Pier, Jetty or Wharf - Small"
USA,Norco,Port of South Louisiana,29.993056,-90.403611,USNCM,Seaport,Small,"[29.993056, -90.403611]","Port of South Louisiana, Seaport - Small"
USA,Norfolk,Port of Norfolk,36.901944,-76.297778,USORF,Deepwater Seaport,Very Large,"[36.901944, -76.297778]","Port of Norfolk, Deepwater Seaport - Very Large"
USA,North Cape May,Cape May Terminal,38.968333,-74.959444,,Ferry,Small,"[38.968333, -74.959444]","Cape May Terminal, Ferry - Small"
USA,North Kingstown,Quonset Point,41.585278,-71.421667,USNKT,Seaport,Small,"[41.585278, -71.421667]","Quonset Point, Seaport - Small"
USA,Oakland,Port of Oakland,37.799444,-122.301944,USOAK,Deepwater Seaport,Very Large,"[37.799444, -122.301944]","Port of Oakland, Deepwater Seaport - Very Large"
USA,Ocean Beach,Ocean Beach Harbor,40.649444,-73.156667,,Ferry,Small,"[40.649444, -73.156667]","Ocean Beach Harbor, Ferry - Small"
USA,Ogdensburg,Port of Ogdensburg,44.699167,-75.497222,USOGS,Seaport,Small,"[44.699167, -75.497222]","Port of Ogdensburg, Seaport - Small"
USA,Ostrica,Port of Ostrica,29.370278,-89.543056,USOST,"Pier, Jetty or Wharf",Small,"[29.370278, -89.543056]","Port of Ostrica, Pier, Jetty or Wharf - Small"
USA,Oswego,Port of Oswego,43.463611,-76.514444,USOSW,Seaport,Small,"[43.463611, -76.514444]","Port of Oswego, Seaport - Small"
USA,Palm Beach,Port of Palm Beach,26.7675,-80.051389,USPAB,Seaport,Medium,"[26.7675, -80.051389]","Port of Palm Beach, Seaport - Medium"
USA,Panama City,Port Panama City,30.18,-85.729444,USPFN,Seaport,Small,"[30.18, -85.729444]","Port Panama City, Seaport - Small"
USA,Pasadena,Port of Pasadena,29.733889,-95.196389,USPAS,Seaport,Large,"[29.733889, -95.196389]","Port of Pasadena, Seaport - Large"
